"id","pub_date","bandname_text"
52,"2018-12-29 03:53:36+00","Diapercentage"
53,"2018-12-29 03:53:46+00","Fake Whigs"
54,"2018-12-29 03:53:53+00","Cherry Seinfeld"
55,"2018-12-29 03:54:01+00","Cherry Bums"
56,"2018-12-29 03:54:09+00","Pontius Pilates Studio"
57,"2018-12-29 03:54:16+00","Frozen Yoga"
58,"2018-12-29 03:54:22+00","Jesus and the Jews"
59,"2018-12-29 03:54:29+00","Gory Feldman"
60,"2018-12-29 03:54:35+00","Athlete's Bigfoot"
61,"2018-12-29 03:54:42+00","Latke Nazis"
62,"2018-12-29 03:54:48+00","Felonious Bunk"
63,"2018-12-29 03:55:00+00","Taco Bell Curve"
64,"2018-12-29 03:55:06+00","Beer Naked Ladies"
65,"2018-12-29 03:55:14+00","Beer Necessities"
66,"2018-12-29 03:55:19+00","Mama Beer"
67,"2018-12-29 03:55:29+00","Catbeardog"
68,"2018-12-29 03:55:35+00","Terrordog"
69,"2018-12-29 03:55:42+00","Terrorbird"
70,"2018-12-29 03:55:51+00","Goldilager and the Three Beers"
71,"2018-12-29 03:55:56+00","Beer Hug"
72,"2018-12-29 03:56:03+00","Beer Claws"
73,"2018-12-29 03:56:10+00","Beer Witness"
74,"2018-12-29 03:57:04+00","Arctic Turnips"
75,"2018-12-29 03:57:09+00","Hash Tray"
76,"2018-12-29 03:57:19+00","Bio Brothers"
77,"2018-12-29 03:57:29+00","Sea Belt"
78,"2018-12-29 03:57:34+00","Seacactus"
79,"2018-12-29 03:58:36+00","Prehistoric Birds"
80,"2018-12-29 03:59:13+00","Mazeltov Cocktails"
81,"2019-01-13 03:27:00+00","Lloydian Slip"
82,"2019-01-13 03:27:21+00","Milk Percolator"
83,"2019-01-13 03:27:32+00","Illusive Knuckles"
84,"2019-01-13 03:31:47+00","Handsome Prophets"
85,"2019-01-13 03:31:57+00","Done and Doner"
86,"2019-01-13 03:32:05+00","Thaicrete"
87,"2019-01-13 03:32:15+00","Hashishtory"
88,"2019-01-13 03:32:29+00","Full Canadian"
89,"2019-01-13 03:32:37+00","Felonade"
90,"2019-01-13 03:32:37+00","Indie Anna Jones"
398,"2019-01-28 04:20:00+00","Tortilla Castle"
366,"2019-01-28 04:20:00+00","Statistical Octopus"
367,"2019-01-28 04:20:00+00","Steam Redemption"
368,"2019-01-28 04:20:00+00","Stick Save"
369,"2019-01-28 04:20:00+00","Street Baby"
370,"2019-01-28 04:20:00+00","Strobe Penguin"
371,"2019-01-28 04:20:00+00","Subsidized Salad"
372,"2019-01-28 04:20:00+00","Suburban Scavenger"
373,"2019-01-28 04:20:00+00","Suicidal Bumblebees"
374,"2019-01-28 04:20:00+00","Suicide Bear"
375,"2019-01-28 04:20:00+00","Sultans of Polka"
376,"2019-01-28 04:20:00+00","Superb Owl"
377,"2019-01-28 04:20:00+00","Supermoon"
378,"2019-01-28 04:20:00+00","Superpain"
379,"2019-01-28 04:20:00+00","Sweatlance"
380,"2019-01-28 04:20:00+00","Tea Rex"
381,"2019-01-28 04:20:00+00","Teabag Santa"
382,"2019-01-28 04:20:00+00","Tentacle Tabernacle"
383,"2019-01-28 04:20:00+00","Thank You Goodnight"
384,"2019-01-28 04:20:00+00","The Danish Queen of Greenland"
385,"2019-01-28 04:20:00+00","The Double Diddle"
386,"2019-01-28 04:20:00+00","The Gaza Strippers"
387,"2019-01-28 04:20:00+00","The Higgins Bison"
388,"2019-01-28 04:20:00+00","The Higgins Boson"
389,"2019-01-28 04:20:00+00","The Icesquires"
390,"2019-01-28 04:20:00+00","The Iron Chic"
391,"2019-01-28 04:20:00+00","The Iron Sheets"
392,"2019-01-28 04:20:00+00","The Nut Sax"
393,"2019-01-28 04:20:00+00","The Science Monks"
394,"2019-01-28 04:20:00+00","Throne Grease"
395,"2019-01-28 04:20:00+00","Tigerfire"
396,"2019-01-28 04:20:00+00","Toiletphone"
397,"2019-01-28 04:20:00+00","Tooth or Dare"
399,"2019-01-28 04:20:00+00","Touchdown Jesus"
400,"2019-01-28 04:20:00+00","Trappucino"
401,"2019-01-28 04:20:00+00","Tray Sheik"
402,"2019-01-28 04:20:00+00","Truckhead"
403,"2019-01-28 04:20:00+00","Turdblossom"
404,"2019-01-28 04:20:00+00","Turkish Van Cat"
405,"2019-01-28 04:20:00+00","USSA"
406,"2019-01-28 04:20:00+00","Vegan Butcher"
407,"2019-01-28 04:20:00+00","Visual Punch"
408,"2019-01-28 04:20:00+00","Volcagnome"
409,"2019-01-28 04:20:00+00","Walking Deficient"
410,"2019-01-28 04:20:00+00","Waxing Gibbon"
411,"2019-01-28 04:20:00+00","We Are Not Susan"
412,"2019-01-28 04:20:00+00","Weasel Easel"
413,"2019-01-28 04:20:00+00","Wee Demon"
414,"2019-01-28 04:20:00+00","Werewolf Toupee"
415,"2019-01-28 04:20:00+00","What It Is"
416,"2019-01-28 04:20:00+00","Whiskey Enhanced"
417,"2019-01-28 04:20:00+00","Whiskey Monkey"
418,"2019-01-28 04:20:00+00","Wicked Liquor"
419,"2019-01-28 04:20:00+00","Wizard Hazard"
420,"2019-01-28 04:20:00+00","Worthless Rage"
421,"2019-01-28 04:20:00+00","Zombie Breakfast"
1,"2019-01-28 00:00:00+00","Nug Puncher"
422,"2019-01-29 03:42:06+00","Dog Catcher In The Rye"
440,"2019-01-29 04:20:56+00","Bake's Ale"
442,"2019-01-29 04:21:33+00","Butter Emails"
445,"2019-01-29 04:22:13+00","Holy Toast"
446,"2019-01-29 04:22:46+00","Rye Ghost"
447,"2019-01-29 04:23:06+00","Wry Toast"
450,"2019-01-29 04:29:20+00","Forty Achers"
460,"2019-01-29 04:46:18+00","Coy Pond"
472,"2019-01-29 05:23:18+00","Tie Diorama"
473,"2019-01-29 05:24:24+00","Handsome Prophets"
474,"2019-01-29 05:26:23+00","Carbon Monarchs"
497,"2019-02-06 02:59:59+00","Shenandoah Shenanigans"
498,"2019-02-06 03:00:09+00","Shenaniguy"
499,"2019-02-09 12:49:29+00","Djazz"
500,"2019-02-13 03:33:57+00","Alsonas"
501,"2019-02-13 03:34:06+00","Cave God"
502,"2019-02-13 03:34:18+00","Vertical Quicksand"
503,"2019-02-14 12:23:41+00","Pretzelcoatl"
536,"2019-02-16 22:37:44+00","Disco Stew"
537,"2019-02-16 22:37:57+00","Beef Stu"
538,"2019-02-19 03:26:41+00","Yesterfog"
539,"2019-02-19 03:26:53+00","Fog of Yore"
540,"2019-02-19 03:27:05+00","Fred Beans"
541,"2019-02-19 03:27:15+00","N Root"
542,"2019-02-19 03:37:27+00","Supernintendo Chalmers"
543,"2019-02-19 03:37:42+00","Thrillho"
544,"2019-02-19 03:38:33+00","Trapper Keeper"
